"Concatenated","relaxed.arboreal","toepads"
"Calumma_boettgeri","1",0
"Calumma_brevicorne","1",0
"Calumma_capuroni","1",0
"Calumma_cucullatum","1",0
"Calumma_fallax","1",0
"Calumma_furcifer","1",0
"Calumma_gallus","1",0
"Calumma_gastrotaenia","1",0
"Calumma_globifer","1",0
"Calumma_guibei","1",0
"Calumma_hilleniusi","1",0
"Calumma_malthe","1",0
"Calumma_nasutum","1",0
"Calumma_oshaughnessyi","1",0
"Calumma_parsonii","1",0
"Calumma_tsaratananense","1",0
"Carinascincus_greeni","0",0
"Carinascincus_metallicus","0",0
"Carinascincus_ocellatus","0",0
"Carinascincus_pretiosus","1",0
"Carlia_amax","0",0
"Carlia_bicarinata","1",0
"Carlia_dogare","0",0
"Carlia_fusca","0",0
"Carlia_gracilis","0",0
"Carlia_jarnoldae","1",0
"Carlia_johnstonei","0",0
"Carlia_longipes","1",0
"Carlia_munda","0",0
"Carlia_mysi","0",0
"Carlia_pectoralis","0",0
"Carlia_rhomboidalis","0",0
"Carlia_rostralis","0",0
"Carlia_rubrigularis","0",0
"Carlia_rufilatus","0",0
"Carlia_schmeltzii","0",0
"Carlia_storri","0",0
"Carlia_tetradactyla","0",0
"Carlia_triacantha","0",0
"Carlia_vivax","0",0
"Carphodactylus_laevis","1",0
"Celatiscincus_euryotis","0",0
"Celestus_enneagrammus","0",0
"Celestus_haetianus","0",0
"Ceratophora_aspera","1",0
"Ceratophora_erdeleni","1",0
"Ceratophora_karu","1",0
"Ceratophora_stoddartii","1",0
"Cercosaura_argulus","1",0
"Cercosaura_eigenmanni","0",0
"Cercosaura_ocellata","1",0
"Cercosaura_oshaughnessyi","1",0
"Cercosaura_schreibersii","0",0
"Chalarodon_madagascariensis","0",0
"Chalcides_lanzai","0",0
"Chalcides_polylepis","0",0
"Chalcides_sexlineatus","0",0
"Chalcides_viridanus","0",0
"Chamaeleo_africanus","1",0
"Chamaeleo_arabicus","1",0
"Chamaeleo_calcaricarens","1",0
"Chamaeleo_calyptratus","1",0
"Chamaeleo_chamaeleon","1",0
"Chamaeleo_dilepis","1",0
"Chamaeleo_gracilis","1",0
"Chamaeleo_laevigatus","1",0
"Chamaeleo_monachus","1",0
"Chamaeleo_namaquensis","0",0
"Chamaeleo_senegalensis","1",0
"Chamaeleo_zeylanicus","1",0
"Chatogekko_amazonicus","0",1
"Chelosania_brunnea","1",0
"Chioninia_coctei","0",0
"Chlamydosaurus_kingii","1",0
"Chondrodactylus_angulifer","0",0
"Chondrodactylus_bibronii","1",1
"Chondrodactylus_fitzsimonsi","0",1
"Chondrodactylus_turneri","0",1
"Christinus_marmoratus","1",1
"Cnemaspis_africana","1",1
"Cnemaspis_dickersonae","1",0
"Cnemaspis_kandiana","1",0
"Cnemaspis_kendallii","1",0
"Cnemaspis_limi","0",0
"Cnemaspis_podihuna","1",0
"Cnemaspis_tropidogaster","1",0
"Cnemaspis_uzungwae","1",1
"Cnemidophorus_gramivagus","0",0
"Cnemidophorus_lemniscatus","1",0
"Cnemidophorus_vanzoi","0",0
"Coleodactylus_brachystoma","0",1
"Coleodactylus_meridionalis","0",1
"Coleodactylus_natalensis","0",1
"Coleodactylus_septentrionalis","0",1
"Coleonyx_brevis","0",0
"Coleonyx_elegans","0",0
"Coleonyx_mitratus","0",0
"Coleonyx_variegatus","0",0
"Colobodactylus_dalcyanus","0",0
"Colobodactylus_taunayi","0",0
"Colobosaura_modesta","0",0
"Colobosauroides_cearensis","0",0
"Coloptychon_rhombifer","1",0
"Colopus_kochii","0",1
"Colopus_wahlbergii","0",1
"Concinnia_amplus","0",0
"Concinnia_frerei","1",0
"Concinnia_martini","1",0
"Concinnia_sokosoma","1",0
"Concinnia_tenuis","1",0
"Concinnia_tigrinus","0",0
